University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
St. Francis College,Brooklyn,NY,Roman Catholic,432,0.4538670203246609,0.4587732658673381,0.4364038858188453,0.4478590323794147,4,9684589.08,40.69306659999999,-73.99220306902977
Hanover College,Hanover,IN,Presbyterian,433,0.3887441071255854,0.4262886271602715,0.5175759892722964,0.4478077759156329,4,165286034.937,38.71651765,-85.46164277066788
Huntington University,Huntington,IN,Anabaptist,434,0.4133951394700927,0.4971422890044556,0.4572598347638983,0.4476908457185928,4,34673941.021,40.89905155,-85.5022118549875
University of St Francis,Joliet,IL,Roman Catholic,435,0.3336797003584641,0.6602505137492849,0.4547113362335783,0.4473980666325099,4,32568572.67,41.53393124999999,-88.09735128052655
Wisconsin Lutheran College,Milwaukee,WI,Lutheran,436,0.4122025705929672,0.4679347758875922,0.4722666277186489,0.4473810740930605,4,45523721.949,43.03726535,-88.02194662020278
Quincy University,Quincy,IL,Roman Catholic,437,0.4312059871662104,0.5138262871202113,0.4301679040715989,0.4473063442725517,4,19676759.076,39.95544185,-91.38969180343577
Carolina Christian College,Winston Salem,NC,Churches of Christ,438,0.2480639480238669,0.8433783860980678,0.4457008886170547,0.4461616078202935,4,0.0,36.1461516,-80.2562112
Johnson C Smith University,Charlotte,NC,Presbyterian,439,0.4026507378008747,0.3203838581394877,0.5524015053926754,0.4461358457468021,4,57254442.975,35.24379475,-80.85543225981756
Bethel University,Saint Paul,MN,Baptist,440,0.3958091644084205,0.5196292423282667,0.4593679403761979,0.4459970201269022,4,102336837.068,44.948616,-93.128015
University of Mobile,Mobile,AL,Baptist,441,0.4451736395519021,0.4212160045566603,0.4591052655865705,0.4459599450554276,4,25355319.679,30.7919746,-88.13124153816352
Hobart William Smith Colleges,Geneva,NY,Episcopal,442,0.3931359729877049,0.465870787193255,0.4885075902549834,0.4458433835777592,4,111698276.99,42.8570498,-76.98719739224848
North Park University,Chicago,IL,Protestant,443,0.4959291648435802,0.2418151200718429,0.4974036859550008,0.4457218706425004,4,138337327.942,41.97487485,-87.70538274756231
Walla Walla University,College Place,WA,Seventh Day Adventist,444,0.383591234316651,0.4988454671224532,0.4810268208430062,0.4456242771823782,4,51752788.267,46.0464038,-118.3919772447721
Meredith College,Raleigh,NC,Baptist,445,0.3979299462580381,0.4832750299154655,0.4742412335666337,0.4455302056620578,4,152712466.841,35.79821395,-78.68893690156162
York University,York,NE,Churches of Christ,446,0.2841749804676055,0.7034964175358664,0.4775355828754396,0.4453802488211661,4,28165363.676,40.86967774999999,-97.58034078874503
